id,resource,key,created_at,updated_at,user_id
1,AcceptedDomain,accepted-domains,9/25/2023 8:04,9/25/2023 8:04,1
2,Appreciation,appreciations,9/25/2023 8:04,9/25/2023 8:04,1
3,Comment,comments,9/25/2023 8:04,9/25/2023 8:04,1
4,ConfigurationColumn,columns,9/25/2023 8:04,9/25/2023 8:04,1
5,ConfigurationInput,inputs,9/25/2023 8:04,9/25/2023 8:04,1
6,ConfigurationOption,options,9/25/2023 8:04,9/25/2023 8:04,1
7,ConfigurationResource,resources,9/25/2023 8:04,9/25/2023 8:04,1
8,ConfigurationType,types,9/25/2023 8:04,9/25/2023 8:04,1
9,ContactMessage,messages,9/25/2023 8:04,9/25/2023 8:04,1
10,ContactResponse,responses,9/25/2023 8:04,9/25/2023 8:04,1
11,ContactSubject,subjects,9/25/2023 8:04,9/25/2023 8:04,1
12,Content,contents,9/25/2023 8:04,9/25/2023 8:04,1
13,General,general,9/25/2023 8:04,9/25/2023 8:04,1
14,Media,media,9/25/2023 8:04,9/25/2023 8:04,1
15,NewsletterCampaign,campaigns,9/25/2023 8:04,9/25/2023 8:04,1
16,NewsletterSubscribe,subscribers,9/25/2023 8:04,9/25/2023 8:04,1
17,Notification,notifications,9/25/2023 8:04,9/25/2023 8:04,1
18,Permission,permissions,9/25/2023 8:04,9/25/2023 8:04,1
19,Resource,resources,9/25/2023 8:04,9/25/2023 8:04,1
20,ResourceChildren,resource-children,9/25/2023 8:04,9/25/2023 8:04,1
21,Review,reviews,9/25/2023 8:04,9/25/2023 8:04,1
22,Role,roles,9/25/2023 8:04,9/25/2023 8:04,1
23,Tag,tags,9/25/2023 8:04,9/25/2023 8:04,1
24,User,users,9/25/2023 8:04,9/25/2023 8:04,1
25,UserProfile,profile,9/25/2023 8:04,9/25/2023 8:04,1
26,Login,login,9/25/2023 8:04,9/25/2023 8:04,1
27,Register,register,9/25/2023 8:04,9/25/2023 8:04,1
